emotion,sentence
Submission,"I get a bit dizzy again and have to take it easy, so what I do is I walk with one arm against the shop windows."
Joy,Gispy Fiddler put Jonjo on cloud nine with a Royal Ascot win two years ago and was having his first run for almost a year when shaping well behind Bit Of A Lark at Haydock.
Sadness,When I left you last night you were positively down in the dumps.
Joy,"Jesus ain't arf depressed at seeing his children down in the mouth, me deario."
Surprise,"There was a tall muscular man of about his own age standing naked before him, grinning from ear to ear."
Joy,She turned to see a very large handsome man holding out a cardigan and grinning like a Cheshire cat.
Joy,He had to make his own terms. Ten years later Burton would have been as happy as Larry.
Joy,In the evening the surround tops flamed red in the rays of the setting sun and cheerful singing emanated from the tent of our happy go lucky band of sherpas
Sadness,But my heart sinks within me.
Contempt,If they jump for joy today hold off until they sober up again.
Joy,It is pleasing that there is a large degree of support for the Southern fire station as I said it was music to my ears.
Optimism,I was certain that from now I would never look back.
Disapproval,"Oh, Mother is over the moon with him, but I'm not, Peggy."
Joy,"He had landed a contract as pleased as Punch, and I made a feast for his friends."
Joy,"The old lady was in raptures over him, however."
Joy,But Leonora was in seventh heaven.
Joy,Oh I said I'm thrilled to bits with that.
Joy,We were all tickled pink.
Neutral,"It was a bit of a shock, you see, coming back and finding everyone had moved out, the happiest time of your life just a pile of rubble."
Joy,People who believe in the ancient chinese art of Chi-Dynamics say it'll make you feel on top of the world.
Neutral,"He understood now all those clichs about hearts singing, feeling ten feet high, walking on air, cloud nine."
Sadness,You can bet your bottom dollar some teams would go bananas on that.
Disapproval,The company is regarded as a corporate basket case that would no longer exist if it were subjected to the normal commercial disciplines faced by all its foreign competitors.
Disapproval,He had even heard himself referred to as not all there.
Disapproval,I'd go nuts.
Disapproval,"You're absolutely off your rocker, Dot."
Sadness,"Poor Loopy Lil, she had a screw loose."
Ambiguous,"Perhaps that was why people who talked to themselves usually had an abstracted smile - they had accepted they were stark raving mad, loony tunes, round the twist."
Anticipation,"Now she comes to a decision whatever the cost and there is a cost, she's gon na have to eat humble pie, how are they gon na receive her when she goes back."
Surprise,It's a Freudian slip isn't it really?
Submission,So swallow your pride and don't make an enemy of your own child.
Awe,"The conscious use of analogy, metaphor, playing a hunch, brainstorming, sheer chance, trial and error or heuristics are the stuff of the think tank, where lively minds, well versed in vertical thinking, strike imaginative sparks one from another."
Remorse,"In Oslo yesterday, diplomats warned that the Nobel committee had a reputation for security and the leaked forecasts might prove wide of the mark."
Contempt,"As long as we bow and scrape to the descendants of an obscure family of German princelings, that is exactly what we will remain."
Disapproval,"For the great majority, the industrial co-operative is just not the done thing."
Remorse,Anyone who tries to gatecrash will be turned away.
Disapproval,Watch your language.
Disapproval,But Charlton was quick to squash any suggestion his players overstep the mark physically.
Fear,"I don't want to speak out of turn, of course."
Surprise,They should not stand on ceremony and overtly assert their authority.
Sadness,"Derry's achilles heel so far in the current campaign has been a lacklustre, inconstant midfield."
Ambiguous,Can't put the handbrake on and sit on your hands with the alarm bells ringing because a babuska's on her way home with her son-in-law's dinner.
Disapproval,It's just plain asking for trouble.
Neutral,I managed to get a spot with my back to the wall.
Neutral,"While at Bradford in 1911, Mr. Spencer had been a pioneer with trolleybus development and with his permission, the Associated Equipment Company (another UndergrounD Group subsidiary), demonstrated a single deck trolleybus of quite modern appearance for the time, somewhere on the South Metropolitan system during 1922, presumably with one trolley on the wire and towing a ball and chain"
Anger,The blasted thing's on the blink again.
Neutral,"But you can't have missed this can of worms, even from a foot deep of sand."
Disgust,Making me carry the can.
Neutral,There is a crystal clear Catch 22 situation here.
Neutral,"Great, round clouds rolled slowly across the sky like whales and a chill wind slapped their faces as they clattered along the pavement to Angelo's Cafe."
Disapproval,And that wasn't the only dark cloud on the horizon.
Neutral,"Matters did not, however, come to a head until the war had ended."
Aggression,"She'd come this far to say her piece and say it she would, come hell or high water."
Anger,Angry Fry vowed to take Barnet to an industrial tribunal for unfair dismissal -- promising that the story of his stormy relationship with Flashman would' all come out in the wash.
Submission,You must regard us as a cross to bear.
Joy,But Ms McIlroy grasped the nub and crux of the matter.
Optimism,All I want to do is get to the bottom of this.
Optimism,"As they say, when the going gets tough, the tough gets going."
Sadness,When Matt married Inez I was left high and dry.
Disapproval,"Everton, to put it bluntly, are in dire straits."
Trust,I wouldn't leave her in the lurch.
Submission,And that was the extreme last resort.
Anticipation,"There was going to be murder before the night was through, and I had to get clear."
Neutral,"For rock climbers abseiling is often seen as a necessary evil, only because belays are often flimsy and safety ropes never used."
